Periodo,Precio de la gasolina en EE.UU. (dólares/m3),Precio de la onza troy de oro (dólares/oz),Precio de la onza troy de plata (dólares/oz),Precio del cobre refinado BML (dólares/libra)
Aug.2020,318.10,1'969.78,27.00,2.95
Sep.2020,308.51,1'923.35,25.79,3.04
Oct.2020,300.29,1'900.36,24.19,3.04
Nov.2020,297.57,1'866.35,24.07,3.20
Dec.2020,342.91,1'860.32,25.05,3.52
Jan.2021,396.56,1'867.28,25.93,3.62
Feb.2021,453.45,1'808.86,27.31,3.84
Mar.2021,515.08,1'721.92,25.62,4.08
Apr.2021,517.96,1'759.47,25.65,4.23
May.2021,538.31,1'853.01,27.51,4.62
Jun.2021,559.92,1'832.24,26.93,4.36